code,funding_commencement_year,grant_status,funding_at_announcement,funding_current,administering_organisation,chief_investigators,chief_investigators_orcids
DP250100164,2025,Active,618568,634722.0,Flinders University,Prof Matthew Fitzpatrick; A/Prof Tomoko Akami; Dr Prudence Flowers; Dr Kristie Flannery,0000-0001-6642-2319; 0000-0002-3746-8112; 0000-0001-9087-3048
DP250101453,2025,Active,604943,631911.0,Western Sydney University,Prof Paola Escudero; A/Prof Chloé Diskin-Holdaway,0000-0001-9196-1744
DP250103039,2025,Active,824684,857458.0,The University of New South Wales,Prof Mike Letnic; Dr Adrian Fisher; Prof Heloise Gibb; Prof William Cornwell,0000-0003-4191-8427; 0000-0002-6903-8053; 0000-0001-7194-0620; 0000-0003-4080-4073
DP250101116,2025,Active,914548,942285.0,Western Sydney University,A/Prof Andrew Milne; Prof Roger Dean; Prof Emery Schubert; Dr Catherine Ingram; Dr Hannah Sarvasy,0000-0002-4688-8004; 0000-0002-8859-8902; 0000-0002-7663-8268; 0000-0002-9551-480X
DP250102648,2025,Active,496803,515987.0,The University of Queensland,Dr Jonathan Redshaw; Dr Natasha Matthews; Prof Iroise Dumontheil,0000-0002-7729-1577; 0000-0001-5236-7849
DP250101325,2025,Active,838885,848509.0,Western Sydney University,Prof Susan Hespos; Dr Genevieve Quek,0000-0002-7970-1330; 0000-0002-5905-8405
DP250104994,2025,Active,557078,576151.0,Western Sydney University,Dr Hannah Sarvasy,0000-0002-9551-480X
DP250100576,2025,Active,664600,691471.0,The University of Sydney,Dr Fengwang Li; Prof Suresh Bhatia,0000-0003-1531-2966; 0000-0001-9716-0112
DP250100574,2025,Active,606192,630244.0,The University of New South Wales,Prof Cyrille Boyer; Dr Dipan Kundu; Dr Priyank Vijaya Kumar; A/Prof Jin Zhang; Dr Nathaniel Corrigan,0000-0002-4564-4702; 0000-0001-5244-9836; 0000-0002-8203-7223; 0000-0002-4257-8148; 0000-0001-7876-1908
DP250100553,2025,Active,867200,893742.0,The University of Melbourne,A/Prof Michael Haydon; Prof Alexander Johnson; A/Prof Mohammad Pourkheirandish,0000-0003-2486-9387; 0000-0002-1209-6447; 0000-0003-4337-3600
DP250100105,2025,Active,548626,571538.0,Australian Catholic University,Prof Kathy Mills; Prof Len Unsworth; Prof Garry Falloon; A/Prof Laura Scholes,0000-0003-1140-3545; 0000-0002-6369-8771; 0000-0002-8849-2825
DP250101423,2025,Active,822191,840307.0,Deakin University,Prof Anita Harris; Prof Loretta Baldassar,0000-0001-6246-4773
DP250100868,2025,Active,227185,237654.0,Swinburne University of Technology,Prof Sergey Suslov; A/Prof Andrey Pototsky,0000-0002-0998-2712; 0000-0001-6139-6545
DP250100400,2025,Active,774903,808843.0,The Australian National University,Prof Andrew Stuchbery,
DP250100172,2025,Active,545825,569280.0,The University of Adelaide,Dr Alexander Francke; A/Prof Timothy Cohen; A/Prof Lee Arnold; Prof Kathryn Amos,0000-0002-0370-5802; 0000-0001-9603-3824; 0000-0003-0306-7588
