code,scheme_name,funding_commencement_year,grant_status,funding_at_announcement,funding_current,administering_organisation,for_primary_codes,for_primary_names,for_all_codes,for_all_names,fellowship_holders,fellowship_holders_orcids,lead_ci_orcid,lead_ci_citations_openalex_through_award_year,lead_ci_openalex_author_id,lead_ci_citation_source
IL250100007,Industry Laureate Fellowships,2025,Not yet accepted,4017211,,,4004,Chemical Engineering,4004; 400404; 401605; 401806,Chemical Engineering; Electrochemical Energy Storage and Conversion; Functional Materials; Nanomanufacturing,Prof John Zhu,,,,,
IL250100010,Industry Laureate Fellowships,2025,Not yet accepted,3947234,,,4609,Information Systems,460204; 4609; 460902; 461106,Fuzzy Computation; Information Systems; Decision Support and Group Support Systems; Semi- and Unsupervised Learning,Prof Jie Lu,,,,,
IL250100012,Industry Laureate Fellowships,2025,Not yet accepted,3908200,,,4513,"Pacific Peoples Culture, Language and History",440602; 4513; 451309; 451319,"Development Geography; Pacific Peoples Culture, Language and History; Pacific Peoples Land, Culture and Identity; Pacific Peoples Ways of Knowing, Being and Doing",Prof Karen McNamara,0000-0002-4511-8403,0000-0002-4511-8403,5839,https://openalex.org/A5048638847,openalex_counts_by_year
IL250100019,Industry Laureate Fellowships,2025,Not yet accepted,3985106,,,3101,Biochemistry and Cell Biology,3101; 310101; 410504,Biochemistry and Cell Biology; Analytical Biochemistry; Surface Water Quality Processes and Contaminated Sediment Assessment,Prof Ewa Goldys,,,,,
IL250100027,Industry Laureate Fellowships,2025,Not yet accepted,3212500,,,4104,Environmental Management,330110; 330404; 4104; 410401,Sustainable Architecture; Land Use and Environmental Planning; Environmental Management; Conservation and Biodiversity,Prof Sarah Bekessy,,,,,
IL250100060,Industry Laureate Fellowships,2025,Not yet accepted,3957431,,,4007,"Control Engineering, Mechatronics and Robotics",300501; 4007; 400702; 460507,"Aquaculture; Control Engineering, Mechatronics and Robotics; Automation Engineering; Information Extraction and Fusion",Prof Yongsheng Gao,,,,,
IL250100072,Industry Laureate Fellowships,2025,Not yet accepted,3849597,,,3107,Microbiology,310208; 3107; 310703; 400411,Translational and Applied Bioinformatics; Microbiology; Microbial Ecology; Water Treatment Processes,Prof Nicholas Ashbolt,0000-0002-3853-0096,0000-0002-3853-0096,16693,https://openalex.org/A5038812300,openalex_counts_by_year
IL250100082,Industry Laureate Fellowships,2025,Not yet accepted,3522756,,,4006,Communications Engineering,4006; 400608,Communications Engineering; Wireless Communication Systems and Technologies (Incl. Microwave and Millimetrewave),Prof Yonghui Li,,,,,
FT250100003,ARC Future Fellowships,2025,Active,1285428,1292011.0,The University of Newcastle,5205,Social and Personality Psychology,5205; 520505,Social and Personality Psychology; Social Psychology,Prof Belinda Liddell,0000-0002-8036-5864,0000-0002-8036-5864,7142,https://openalex.org/A5031856973,openalex_counts_by_year
FT250100023,ARC Future Fellowships,2025,Active,1286828,1293423.0,Deakin University,4302,"Heritage, Archive and Museum Studies",4302; 430202; 430205; 430208,"Heritage, Archive and Museum Studies; Critical Heritage, Museum and Archive Studies; Heritage and Cultural Conservation; Intangible Heritage",Prof Benjamin Isakhan,0000-0002-5153-7110,0000-0002-5153-7110,927,https://openalex.org/A5091134612,openalex_counts_by_year
FT250100040,ARC Future Fellowships,2025,Active,1115510,1121059.0,The University of Melbourne,4901,Applied Mathematics,4901; 490102,Applied Mathematics; Biological Mathematics,A/Prof Douglas Brumley,0000-0003-0587-0251,0000-0003-0587-0251,1754,https://openalex.org/A5045512307,openalex_counts_by_year
FT250100051,ARC Future Fellowships,2025,Active,1111567,1117158.0,The University of New South Wales,3109,Zoology,3109; 310901; 310906; 320903,Zoology; Animal Behaviour; Animal Neurobiology; Central Nervous System,Dr Miriam Matamales,0000-0001-9978-0091,0000-0001-9978-0091,1826,https://openalex.org/A5065832532,openalex_counts_by_year
FT250100055,ARC Future Fellowships,2025,Active,1131800,1137601.0,Monash University,4410,Sociology,440612; 4410; 441007,Urban Geography; Sociology; Sociology and Social Studies of Science and Technology,Dr Jathan Sadowski,,,,,
FT250100072,ARC Future Fellowships,2025,Active,1131404,1137198.0,The University of Queensland,4403,Demography,4403; 440303; 440305,Demography; Migration; Population Trends and Policies,Dr Aude Bernard,,,,,
FT250100092,ARC Future Fellowships,2025,Active,1282368,1288963.0,Macquarie University,4605,Data Management and Data Science,4605; 460501; 460502; 460510,Data Management and Data Science; Data Engineering and Data Science; Data Mining and Knowledge Discovery; Recommender Systems,Prof Lina Yao,0000-0002-4149-839X,0000-0002-4149-839X,16308,https://openalex.org/A5052731721,openalex_counts_by_year
FT250100095,ARC Future Fellowships,2025,Active,1286680,1293275.0,La Trobe University,4501,"Aboriginal and Torres Strait Islander Culture, Language and History",430321; 440509; 4501; 450107,"North American History; Women'S Studies (Incl. Girls' Studies); Aboriginal and Torres Strait Islander Culture, Language and History; Aboriginal and Torres Strait Islander History",A/Prof Karen Hughes,0000-0002-0444-7657,0000-0002-0444-7657,99,https://openalex.org/A5013197875,openalex_counts_by_year
FT250100099,ARC Future Fellowships,2025,Active,1127074,1132860.0,The Australian National University,4303,Historical Studies,4303; 430308,"Historical Studies; European History (Excl. British, Classical Greek and Roman)",Dr Filip Slaveski,,,,,
FT250100107,ARC Future Fellowships,2025,Active,941151,945788.0,University of Technology Sydney,5204,Cognitive and Computational Psychology,5204; 520401; 520403,"Cognitive and Computational Psychology; Cognition; Learning, Motivation and Emotion",Dr Poppy Watson,0000-0001-7454-413X,0000-0001-7454-413X,2196,https://openalex.org/A5045780777,openalex_counts_by_year
FT250100113,ARC Future Fellowships,2025,Active,1130122,1135918.0,The Australian National University,4104,Environmental Management,310308; 4104; 410401; 410407,Terrestrial Ecology; Environmental Management; Conservation and Biodiversity; Wildlife and Habitat Management,Dr Ben Scheele,,,,,
FT250100116,ARC Future Fellowships,2025,Active,1272992,1279390.0,The University of Melbourne,3801,Applied Economics,3801; 380109,Applied Economics; Industry Economics and Industrial Organisation,Prof David Byrne,0000-0003-2133-0917,0000-0003-2133-0917,1990,https://openalex.org/A5053028903,openalex_counts_by_year
FT250100128,ARC Future Fellowships,2025,Active,1238320,1244846.0,The University of Melbourne,5003,Philosophy,500204; 5003; 500309,History and Philosophy of Science; Philosophy; Metaphysics,A/Prof Samuel Baron,0009-0007-4188-8359,0009-0007-4188-8359,0,,openalex_counts_by_year
FT250100132,ARC Future Fellowships,2025,Active,1285732,1292326.0,University of Technology Sydney,4008,Electrical Engineering,4008; 400805,"Electrical Engineering; Electrical Energy Transmission, Networks and Systems",Prof Md Jahangir Hossain,0000-0001-7602-3581,0000-0001-7602-3581,11221,https://openalex.org/A5039813871,openalex_counts_by_year
FT250100159,ARC Future Fellowships,2025,Active,1173569,1179068.0,Macquarie University,4605,Data Management and Data Science,4605; 460502; 460505; 460506,"Data Management and Data Science; Data Mining and Knowledge Discovery; Database Systems; Graph, Social and Multimedia Data",A/Prof Jia Wu,0000-0002-1371-5801,0000-0002-1371-5801,0,https://openalex.org/A5119268416,openalex_counts_by_year
FT250100160,ARC Future Fellowships,2025,Active,1175732,1181758.0,The University of Sydney,4904,Pure Mathematics,4904; 490401; 490404; 490405,Pure Mathematics; Algebra and Number Theory; Combinatorics and Discrete Mathematics (Excl. Physical Combinatorics); Group Theory and Generalisations,A/Prof Anne Thomas,0000-0001-9074-4553,0000-0001-9074-4553,403,https://openalex.org/A5073382193,openalex_counts_by_year
FT250100162,ARC Future Fellowships,2025,Active,1118947,1124711.0,The Australian National University,5106,Nuclear and Plasma Physics,5106; 510601,Nuclear and Plasma Physics; Nuclear Physics,Dr Edward Simpson,,,,,
