code,funding_commencement_year,grant_status,funding_at_announcement,funding_current,administering_organisation,for_primary_codes,for_primary_names,for_all_codes,for_all_names,chief_investigators,chief_investigators_orcids,lead_ci_orcid,lead_ci_citations_openalex_through_award_year,lead_ci_openalex_author_id,lead_ci_citation_source
DP250100164,2025,Active,618568,634722.0,Flinders University,4303,Historical Studies,4303; 430313; 430315,"Historical Studies; History of Empires, Imperialism and Colonialism; History of the Pacific",Prof Matthew Fitzpatrick; A/Prof Tomoko Akami; Dr Prudence Flowers; Dr Kristie Flannery,0000-0001-6642-2319; 0000-0002-3746-8112; 0000-0001-9087-3048,0000-0001-6642-2319,749,https://openalex.org/A5032701280,openalex_counts_by_year
DP250101453,2025,Active,604943,631911.0,Western Sydney University,4704,Linguistics,4704; 470403; 470410; 520405,Linguistics; Computational Linguistics; Phonetics and Speech Science; Psycholinguistics (Incl. Speech Production and Comprehension),Prof Paola Escudero; A/Prof Chloé Diskin-Holdaway,0000-0001-9196-1744,0000-0001-9196-1744,277,https://openalex.org/A5069193807,openalex_counts_by_year
DP250103039,2025,Active,824684,857458.0,The University of New South Wales,4104,Environmental Management,4104; 410401; 410407,Environmental Management; Conservation and Biodiversity; Wildlife and Habitat Management,Prof Mike Letnic; Dr Adrian Fisher; Prof Heloise Gibb; Prof William Cornwell,0000-0003-4191-8427; 0000-0002-6903-8053; 0000-0001-7194-0620; 0000-0003-4080-4073,0000-0003-4191-8427,13659,https://openalex.org/A5011750705,openalex_counts_by_year
DP250101116,2025,Active,914548,942285.0,Western Sydney University,3603,Music,3603; 360301,Music; Music Cognition,A/Prof Andrew Milne; Prof Roger Dean; Prof Emery Schubert; Dr Catherine Ingram; Dr Hannah Sarvasy,0000-0002-4688-8004; 0000-0002-8859-8902; 0000-0002-7663-8268; 0000-0002-9551-480X,0000-0002-4688-8004,945,https://openalex.org/A5082721646,openalex_counts_by_year
DP250102648,2025,Active,496803,515987.0,The University of Queensland,5201,Applied and Developmental Psychology,5201; 520101; 520203; 520401,Applied and Developmental Psychology; Child and Adolescent Development; Cognitive Neuroscience; Cognition,Dr Jonathan Redshaw; Dr Natasha Matthews; Prof Iroise Dumontheil,0000-0002-7729-1577; 0000-0001-5236-7849,0000-0002-7729-1577,1764,https://openalex.org/A5035728245,openalex_counts_by_year
DP250101325,2025,Active,838885,848509.0,Western Sydney University,5201,Applied and Developmental Psychology,5201; 520101,Applied and Developmental Psychology; Child and Adolescent Development,Prof Susan Hespos; Dr Genevieve Quek,0000-0002-7970-1330; 0000-0002-5905-8405,0000-0002-7970-1330,3732,https://openalex.org/A5080290542,openalex_counts_by_year
DP250104994,2025,Active,557078,576151.0,Western Sydney University,4513,"Pacific Peoples Culture, Language and History",4513; 451310; 451603,"Pacific Peoples Culture, Language and History; Pacific Peoples Linguistics and Languages; Pacific Peoples Cultural Determinants of Health",Dr Hannah Sarvasy,0000-0002-9551-480X,0000-0002-9551-480X,464,https://openalex.org/A5034015010,openalex_counts_by_year
DP250100576,2025,Active,664600,691471.0,The University of Sydney,4004,Chemical Engineering,340604; 4004; 400404; 401605,Electrochemistry; Chemical Engineering; Electrochemical Energy Storage and Conversion; Functional Materials,Dr Fengwang Li; Prof Suresh Bhatia,0000-0003-1531-2966; 0000-0001-9716-0112,0000-0003-1531-2966,20042,https://openalex.org/A5089706752,openalex_counts_by_year
DP250100574,2025,Active,606192,630244.0,The University of New South Wales,4014,Manufacturing Engineering,340302; 400404; 4014; 401401,Macromolecular Materials; Electrochemical Energy Storage and Conversion; Manufacturing Engineering; Additive Manufacturing,Prof Cyrille Boyer; Dr Dipan Kundu; Dr Priyank Vijaya Kumar; A/Prof Jin Zhang; Dr Nathaniel Corrigan,0000-0002-4564-4702; 0000-0001-5244-9836; 0000-0002-8203-7223; 0000-0002-4257-8148; 0000-0001-7876-1908,0000-0002-4564-4702,41826,https://openalex.org/A5001395511,openalex_counts_by_year
DP250100553,2025,Active,867200,893742.0,The University of Melbourne,3004,Crop and Pasture Production,3004; 300404; 300407; 310803,Crop and Pasture Production; Crop and Pasture Biochemistry and Physiology; Crop and Pasture Nutrition; Plant Cell and Molecular Biology,A/Prof Michael Haydon; Prof Alexander Johnson; A/Prof Mohammad Pourkheirandish,0000-0003-2486-9387; 0000-0002-1209-6447; 0000-0003-4337-3600,0000-0003-2486-9387,4152,https://openalex.org/A5078545920,openalex_counts_by_year
