code,scheme_name,funding_commencement_year,grant_status,funding_at_announcement,funding_current,administering_organisation
LP100100010,Linkage Projects,2010,Closed,324851,355723.0,RMIT University
LP100100017,Linkage Projects,2010,Closed,240546,251316.0,The University of Melbourne
LP100100032,Linkage Projects,2010,Closed,240000,250744.0,The University of Queensland
LP100100033,Linkage Projects,2010,Closed,1110000,1197470.0,University of Tasmania
LP100100037,Linkage Projects,2010,Closed,230000,0.0,RMIT University
LP100100045,Linkage Projects,2010,Closed,150000,156715.0,Federation University Australia
LP100100049,Linkage Projects,2010,Closed,200000,209033.0,Deakin University
LP100100050,Linkage Projects,2010,Closed,355000,371047.0,University of Tasmania
LP100100052,Linkage Projects,2010,Closed,192000,198740.0,The University of Sydney
LP100100056,Linkage Projects,2010,Closed,548000,601428.0,The University of New South Wales
LP100100066,Linkage Projects,2010,Closed,448000,0.0,Deakin University
LP100100068,Linkage Projects,2010,Closed,110000,94183.0,The University of Melbourne
LP100100069,Linkage Projects,2010,Closed,470000,506601.0,Deakin University
LP100100073,Linkage Projects,2010,Closed,308000,321004.0,Charles Darwin University
LP100100076,Linkage Projects,2010,Closed,132000,137909.0,The University of Melbourne
LP100100078,Linkage Projects,2010,Closed,1205904,1299959.0,Monash University
LP100100084,Linkage Projects,2010,Closed,172000,179659.0,Australian Catholic University
LP100100087,Linkage Projects,2010,Closed,300000,314867.0,Deakin University
LP100100091,Linkage Projects,2010,Closed,240000,250744.0,The University of Melbourne
LP100100092,Linkage Projects,2010,Closed,600000,626139.0,The University of Melbourne
LP100100103,Linkage Projects,2010,Closed,80007,99305.0,Victoria University
LP100100106,Linkage Projects,2010,Closed,325000,359671.0,The Australian National University
LP100100127,Linkage Projects,2010,Closed,330000,344492.0,The University of Melbourne
LP100100128,Linkage Projects,2010,Closed,1237600,1316664.0,The University of New South Wales
LP100100131,Linkage Projects,2010,Closed,157014,164411.0,The University of Melbourne
LP100100133,Linkage Projects,2010,Closed,228000,231743.0,The University of Newcastle
LP100100136,Linkage Projects,2010,Closed,285000,314030.0,Charles Sturt University
LP100100143,Linkage Projects,2010,Closed,233000,258127.0,The Australian National University
LP100100150,Linkage Projects,2010,Closed,580000,622746.0,The University of Western Australia
LP100100153,Linkage Projects,2010,Closed,64000,65842.0,The University of Adelaide
LP100100154,Linkage Projects,2010,Closed,420000,449605.0,Australian Catholic University
LP100100156,Linkage Projects,2010,Closed,273000,300683.0,The University of Queensland
LP100100158,Linkage Projects,2010,Closed,310000,319165.0,The University of Sydney
LP100100159,Linkage Projects,2010,Closed,182294,222229.0,Monash University
LP100100160,Linkage Projects,2010,Closed,210000,219401.0,Murdoch University
LP100100163,Linkage Projects,2010,Closed,395000,426749.0,Griffith University
LP100100165,Linkage Projects,2010,Closed,80007,98217.0,The University of Queensland
LP100100172,Linkage Projects,2010,Closed,80007,106240.0,The Australian National University
LP100100193,Linkage Projects,2010,Closed,177697,201738.0,The University of Melbourne
LP100100194,Linkage Projects,2010,Closed,600000,628497.0,Monash University
LP100100205,Linkage Projects,2010,Closed,132000,135704.0,Griffith University
LP100100208,Linkage Projects,2010,Closed,159106,166385.0,Deakin University
LP100100212,Linkage Projects,2010,Closed,87902,91756.0,The University of Adelaide
LP100100213,Linkage Projects,2010,Closed,140000,143757.0,University of Technology Sydney
LP100100215,Linkage Projects,2010,Closed,145000,149134.0,The University of Adelaide
LP100100222,Linkage Projects,2010,Closed,397000,442433.0,Swinburne University of Technology
LP100100223,Linkage Projects,2010,Closed,491000,518087.0,The University of Melbourne
LP100100225,Linkage Projects,2010,Closed,246000,271933.0,The University of Queensland
LP100100232,Linkage Projects,2010,Closed,320553,351201.0,Queensland University of Technology
LP100100236,Linkage Projects,2010,Closed,178676,201651.0,University of Wollongong
LP100100242,Linkage Projects,2010,Closed,360000,376155.0,The University of New South Wales
